Region,1st dose,2nd dose,Total doses,Publication_date
"Northern Ireland","1,160,024","850,004","2,010,028",2021-06-28
"Northern Ireland","1,164,792","862,932","2,027,724",2021-06-30
"Northern Ireland","1,166,842","871,216","2,038,058",2021-07-01
"Northern Ireland","1,173,365","897,209","2,070,574",2021-07-05
"Northern Ireland","1,175,151","904,607","2,079,758",2021-07-06
"Northern Ireland","1,177,136","912,250","2,089,386",2021-07-07
"Northern Ireland","1,179,096","920,078","2,099,174",2021-07-08
"Northern Ireland","1,181,008","926,855","2,107,863",2021-07-09
"Northern Ireland","1,182,772","932,963","2,115,735",2021-07-10
"Northern Ireland","1,184,485","938,477","2,122,962",2021-07-11
"Northern Ireland","1,186,295","943,778","2,130,073",2021-07-13
"Northern Ireland","1,186,295","943,778","2,130,073",2021-07-13
"Northern Ireland","1,187,446","950,145","2,137,591",2021-07-14
"Northern Ireland","1,188,563","957,236","2,145,799",2021-07-15
"Northern Ireland","1,189,863","963,532","2,153,395",2021-07-16
"Northern Ireland","1,201,048","973,998","2,175,046",2021-07-17
"Northern Ireland","1,202,031","978,587","2,180,618",2021-07-18
"Northern Ireland","1,185,869","982,562","2,168,431",2021-07-19
"Northern Ireland","1,187,005","988,658","2,175,663",2021-07-20
"Northern Ireland","1,188,898","997,244","2,186,142",2021-07-22
"Northern Ireland","1,188,898","997,244","2,186,142",2021-07-22
"Northern Ireland","1,192,181","1,003,634","2,195,815",2021-07-23
"Northern Ireland","1,193,854","1,006,725","2,200,579",2021-07-24
"Northern Ireland","1,195,271","1,008,906","2,204,177",2021-07-25
"Northern Ireland","1,196,995","1,011,471","2,208,466",2021-07-26
"Northern Ireland","1,198,692","1,016,691","2,215,383",2021-07-27
"Northern Ireland","1,201,462","1,022,646","2,224,108",2021-07-28
"Northern Ireland","1,209,145","1,030,507","2,239,652",2021-07-29
"Northern Ireland","1,212,236","1,036,362","2,248,598",2021-07-30
"Northern Ireland","1,215,254","1,040,265","2,255,519",2021-07-31
"Northern Ireland","1,219,389","1,048,595","2,267,984",2021-08-02
"Northern Ireland","1,219,389","1,048,595","2,267,984",2021-08-02
"Northern Ireland","1,220,430","1,056,278","2,276,708",2021-08-03
"Northern Ireland","1,221,743","1,062,797","2,284,540",2021-08-04
"Northern Ireland","1,221,743","1,062,797","2,284,540",2021-08-04
"Northern Ireland","1,221,743","1,062,797","2,284,540",2021-08-04
"Northern Ireland","1,221,743","1,062,797","2,284,540",2021-08-04
"Northern Ireland","1,221,743","1,062,797","2,284,540",2021-08-04
"Northern Ireland","1,233,437","1,089,222","2,322,659",2021-08-10
"Northern Ireland","1,240,811","1,094,987","2,335,798",2021-08-10
"Northern Ireland","1,240,811","1,094,987","2,335,798",2021-08-10
